等级,内容,图片,坐标,道具名,链接
1,我要干嘛,,,,
2,主线,,,,
3,来自过去的微光,071001.tex.png,,,
3,可露儿,npc.png,,,
3,后房(X:6.0 Y:6.4),zuobiao.png,id=934&x=6.0&y=6.4,,
2,副本,,,,
3,极神,,,,
4,泽莲尼娅歼殛战,071141.tex.png,,,
4,异国的诗人,npc.png,,,
4,图莱尤拉(X:11.1 Y:14.6),zuobiao.png,id=855&x=11.1&y=14.6,,
3,RAID,,,,
4,侵蚀灵魂的病症,071141.tex.png,,,
4,亚纳,npc.png,,,
4,九号解决方案(X:22.2 Y:16.6),zuobiao.png,id=856&x=22.2&y=16.6,,
4,需完成支线「次世代魔女」,071141.tex.png,,,
3,零式,,,,
4,零式阿卡狄亚 对话开启(7月1日),071141.tex.png,,,
4,加布罗,npc.png,,,
4,九号解决方案(X:22.3 Y:17.1),zuobiao.png,id=856&x=22.3&y=17.1,,
2,支线,,,,
3,饥饿之旅：重逢篇,,,,
4,玉米大人,npc.png,,,
4,图莱尤拉(X:16.4 Y:12.8),zuobiao.png,id=855&x=16.4&y=12.8,,
4,需完成支线「饥饿之旅：完结篇」,071141.tex.png,,,
3,宇宙探索,,,,
4,重逢与新的计划！,071141.tex.png,,,
4,命名威,npc.png,,,
4,旧萨雷安(X:12.6 Y:13.6),zuobiao.png,id=693&x=12.6&y=13.6,,
3,新月岛(7.25),,,,
4,ケテンラム、最後の冒険,071141.tex.png,,,
4,探査隊の連絡員,npc.png,,,
4,图莱尤拉 (X:17.1 Y:11.8),zuobiao.png,id=855&x=17.1&y=11.8,,
3,幻影武器(7.25),,,,
4,蜃気楼に包まれし武具,071141.tex.png,,,
4,リディルセイル,npc.png,,,
4,蜃気楼の町 (X:6.6 Y:7.1),zuobiao.png,id=1025&x=6.6&y=7.1,,
4,需完成支线「使えない使い魔」,071141.tex.png,,,
3,调查员(7.25),,,,
4,実直な探偵,071141.tex.png,,,
4,娜修·玛卡拉卡,npc.png,,,
4,九号解决方案 (X:18.5 Y:13.6),zuobiao.png,id=856&x=18.5&y=13.6,,
4,需完成全部职能任务,071141.tex.png,,,
3,友好部族-辉鳞族(7.25),,,,
4,マムークの希望の芽,071141.tex.png,,,
4,高图加,npc.png,,,
4,亚克特尔树海 (X:35.6 Y:32.0),zuobiao.png,id=859&x=35.6&y=32.0,,
4,需完成支线「森林一家亲！」,071141.tex.png,,,
4,需完成支线「梦寐以求的狞豹狩猎团！」,071141.tex.png,,,
4,需完成支线「前佣兵失去的力量」,071141.tex.png,,,
2,PVP,,,,
3,周边遗迹群（阵地战）再开,,,,
3,第八季通行证,,,,
2,综合,,,,
3,幻想药,,,幻想药,
4,对话获得,071141.tex.png,,,
4,流浪的莫古力,npc.png,,,
4,格里达尼亚旧街(X:10.7 Y:6.4),zuobiao.png,id=3&x=10.7&y=6.4,,
4,没错又又送一瓶(7.3前),daoju.png,,,
3,潜水艇,,,,
4,等级由125 提高为 130,daoju.png,,,
4,新的目的地,daoju.png,,,
4,新道具追加,daoju.png,,,
4,苍茫浅滩-H,,,,
5,乐谱：砖石圈,daoju.png,,砖石圈,
4,苍茫浅滩-I,,,,
5,素材：荧光管吊灯,daoju.png,,荧光管吊灯,
4,苍茫浅滩-J,,,,
5,宠物：圆形地灯,daoju.png,,圆形地灯,
4,苍茫浅滩-K,,,,
5,家具：大面幅水晶板,daoju.png,,大面幅水晶板,
4,苍茫浅滩-L,,,,
5,家具：面部配饰：彩色护目镜,daoju.png,,面部配饰：彩色护目镜,
4,苍茫浅滩-M,,,,
5,宠物：管弦乐琴乐谱：仰望黎明的天空,daoju.png,,管弦乐琴乐谱：仰望黎明的天空,
3,生产,,,,
4,740HQ,daoju.png,,,
4,宇宙工具,daoju.png,,,
3,铭牌,,,,
4,肖像教材：荣誉野,,,肖像教材：荣誉野,
4,肖像教材：昂萨哈凯尔,,,肖像教材：昂萨哈凯尔,
4,肖像教材：死者宫殿1,,,肖像教材：死者宫殿1,
4,肖像教材：死者宫殿2,,,肖像教材：死者宫殿2,
4,肖像教材：天之御柱1,,,肖像教材：天之御柱1,
4,肖像教材：天之御柱2,,,肖像教材：天之御柱2,
4,肖像教材：宇宙探索,,,肖像教材：宇宙探索,
2,系统,,,,
3,「天灾之翼」「奇迹之翼]可以低保x99兑换,daoju.png,,,
3,移动中也可上坐骑,daoju.png,,,
3,料理、爆发药、冲刺加入施法队列,daoju.png,,,
