等级,内容,图片,坐标,道具名,链接
1,我要干嘛,,,,
2,主线,,,,
3,遵循指南针的方向,071001.tex.png,,,
3,阿尔菲诺,npc.png,,,
3,九号解决方案(X:11.9 Y:6.3),zuobiao.png,id=856&x=11.9&y=6.3,,
2,副本,,,,
3,极神,,,,
4,格莱杨拉波尔歼殛战,071141.tex.png,,,
4,异国的诗人,npc.png,,,
4,图莱尤拉(X:11.1 Y:14.6),zuobiao.png,id=855&x=11.1&y=14.6,,
3,RAID,,,,
4,阿卡狄亚的追随者,071141.tex.png,,,
4,亚纳,npc.png,,,
4,九号解决方案(X:22.2 Y:16.6),zuobiao.png,id=856&x=22.2&y=16.6,,
4,需完成支线「孤高的狼」,071141.tex.png,,,
3,零式,,,,
4,零式阿卡狄亚 对话开启(1月6日),071141.tex.png,,,
4,加布罗,npc.png,,,
4,九号解决方案(X:22.3 Y:17.1),zuobiao.png,id=856&x=22.3&y=17.1,,
3,幻本,,,,
4,月读幻巧战,071141.tex.png,,,
4,从伊修加德来的男性,npc.png,,,
4,田园郡 (X:7.0 Y:5.9),zuobiao.png,id=257&x=7&y=5.9,,
4,需完成支线「天书奇谈」,071141.tex.png,,,https://ff14.huijiwiki.com/wiki/%E4%BB%BB%E5%8A%A1：%E5%A4%A9%E4%B9%A6%E5%A5%87%E8%B0%88
3,新月岛,,,,
4,追加-「魔法剑士」「舞者」「剑斗士」,,,,
3,多变迷宫 商客奇谭(7.45),,,,
2,PVP,,,,
3,新增-纷争前线 沃刻其特,,,,
3,第九季通行证,,,,
2,综合,,,,
3,调查员黄金篇(7.45),,,,
3,金碟,,,,
4,空军装甲驾驶员-新图,,,,
4,多玛方城战语音-追加角色,,,,
3,潜水艇,,,,
4,等级由135 提高为 140,daoju.png,,,
4,新的目的地,daoju.png,,,
4,新道具追加,daoju.png,,,
3,生产,,,,
4,770HQ,daoju.png,,,
4,宇宙工具(7.41),daoju.png,,,
2,系统,,,,
3,全新UI「快捷面板」,daoju.png,,,
3,战术板,daoju.png,,,
3,剧情辅助器适配,daoju.png,,,
3,全新颜色主题「透明绿」「透明白」,daoju.png,,,
3,武具投影更新,daoju.png,,,
