等级,内容,图片,坐标,道具名,链接
2,妖歌海T,,,,
3,6.4版本,,,,
3,紫礁海A,,,,
4,B,,,,
5,D,,,,
6,I,,,,
7,P,,,,
5,F,,,,
6,J,,,,
7,L,,,,
8,N,,,,
9,S,,,,
8,Q,,,,
9,T,,,,
10,苍茫浅滩A,,,,
4,C,,,,
5,E,,,,
5,G,,,,
6,H,,,,
6,K,,,,
7,M,,,,
8,O,,,,
9,R,,,,
2,翠浪海T,,,,
3,6.1版本,,,,
3,妖歌海A,,,,
4,B,,,,
5,E,,,,
5,F,,,,
6,J,,,,
7,K,,,,
8,O,,,,
9,R,,,,
9,S,,,,
7,L,,,,
8,R,,,,
9,T,,,,
10,紫礁海A,,,,
4,C,,,,
5,D,,,,
6,H,,,,
7,I,,,,
8,N,,,,
9,Q,,,,
5,G,,,,
7,M,,,,
2,灰海R,,,,
3,5.3版本,,,,
3,翠浪海A,,,,
4,B,,,,
4,C,,,,
5,D,,,,
6,F,,,,
5,E,,,,
6,G,,,,
7,I,,,,
8,K,,,,
8,L,,,,
9,Q,,,,
10,S,,,,
9,O,,,,
7,J,,,,
8,M,,,,
9,N,,,,
10,P,,,,
9,R,,,,
10,T,,,,
11,妖歌海A,,,,
6,H,,,,
2,溺没海AD,,,,
3,5.1版本,,,,
3,灰海A,,,,
4,B,,,,
5,C,,,,
6,D,,,,
7,E,,,,
8,Q,,,,
6,F,,,,
7,※[G],,,,
3,※[G],,,,
4,H,,,,
5,K,,,,
6,L,,,,
7,P,,,,
8,R,,,,
9,翠浪海A,,,,
6,T,,,,
4,I,,,,
5,J,,,,
6,N,,,,
7,O,,,,
7,S,,,,
5,M,,,,
2,溺没海,,,,
3,4.2版本,,,,
3,A,,,,
4,C,,,,
5,F,,,,
3,B,,,,
4,D,,,,
5,G,,,,
6,H,,,,
7,L,,,,
8,R,,,,
7,M,,,,
4,E,,,,
5,I,,,,
6,K,,,,
7,P,,,,
8,Q,,,,
5,J,,,,
6,N,,,,
7,O,,,,
8,S,,,,
9,T,,,,
10,Y,,,,
11,※[Z],,,,
9,U,,,,
10,V,,,,
7,W,,,,
8,X,,,,
3,※[Z],,,,
4,AA,,,,
5,AB,,,,
6,AD,,,,
7,灰海A,,,,
5,AC,,,,
2,暂不考虑统计飞空艇部分,,,,
3,主要是懒,,,,
