等级,内容,图片,坐标,道具名,链接
1,我要干嘛,,,,
2,主线,,,,
3,来自亚历山德里亚的消息,071001.tex.png,,,
3,波尔·乌鲁可,npc.png,,,
3,图莱尤拉(X:10.0 Y:15.0),zuobiao.png,id=855&x=10&y=15,,
2,副本,,,,
3,极神,,,,
4,永恒女王忆想歼灭战,071141.tex.png,,,
4,异国的诗人,npc.png,,,
4,图莱尤拉(X:11.1 Y:14.6),zuobiao.png,id=855&x=11.1&y=14.6,,
3,24人,,,,
4,交错的世界(朱诺：第一巡行),071141.tex.png,,,
4,霍比格族使者,npc.png,,,
4,图莱尤拉 (X:13.0 Y:11.6),zuobiao.png,id=855&x=13&y=11.6,,
3,幻本,,,,
4,白虎幻巧战,071141.tex.png,,,
4,从伊修加德来的男性,npc.png,,,
4,田园郡 (X:7.0 Y:5.9),zuobiao.png,id=257&x=7&y=5.9,,
4,需完成支线「天书奇谈」,071141.tex.png,,,https：//ff14.huijiwiki.com/wiki/%E4%BB%BB%E5%8A%A1：%E5%A4%A9%E4%B9%A6%E5%A5%87%E8%B0%88
3,绝本(7.11),,,,
4,光暗未来绝境战,071141.tex.png,,,
4,异国的诗人,npc.png,,,
4,图莱尤拉(X:11.1 Y:14.6),zuobiao.png,id=855&x=11.1&y=14.6,,
4,需通关副本「阿卡狄亚零式登天斗技场 轻量级4」,daoju.png,,,
3,灭本(7.15),,,,
4,滅暗闇の雲激闘戦,071141.tex.png,,,
4,异国的诗人,npc.png,,,
4,图莱尤拉(X:11.1 Y:14.6),zuobiao.png,id=855&x=11.1&y=14.6,,
4,7.15的次周才开,daoju.png,,,
2,支线,,,,
3,金碟,,,,
4,多玛方城战语音包(金碟币),071141.tex.png,,,
4,迪布尔迪耶,npc.png,,,
4,金碟游乐场 (X:7.1 Y:7.8),zuobiao.png,id=196&x=7.1&y=7.8,,
4,需完成支线「多玛方城战入门之旅」,071141.tex.png,,,https：//ff14.huijiwiki.com/wiki/%E4%BB%BB%E5%8A%A1：%E5%A4%9A%E7%8E%9B%E6%96%B9%E5%9F%8E%E6%88%98%E5%85%A5%E9%97%A8%E4%B9%8B%E6%97%85
3,万魔殿,,,,
4,将昔日的回忆送与你,071141.tex.png,,,
4,中原之民研究员,npc.png,,,
4,旧萨雷安(X:11.0 Y:10.6),zuobiao.png,id=693&x=11&y=10.6,,
4,万魔殿后日谈,daoju.png,,,
3,友好部族,,,,
4,c,071141.tex.png,,,
4,穿蓝色衣服的佩鲁佩鲁族,npc.png,,,
4,图莱尤拉 (X:13.6 Y:12.9),zuobiao.png,id=855&x=13.6&y=12.9,,
3,老主顾(7.15),,,,
4,尼托维凯的老主顾,071141.tex.png,,,
4,XTRR社の社員,npc.png,,,
4,图莱尤拉 (X:14.1 Y:12.1),zuobiao.png,id=855&x=14.1&y=12.1,,
4,需完成支线「打开新世界的大门」,071141.tex.png,,,https：//ff14.huijiwiki.com/wiki/%E4%BB%BB%E5%8A%A1：%E6%89%93%E5%BC%80%E6%96%B0%E4%B8%96%E7%95%8C%E7%9A%84%E5%A4%A7%E9%97%A8
3,万货街(7.15),,,,
4,珠串万货街感恩大酬宾,071141.tex.png,,,
4,洛皮利,npc.png,,,
4,图莱尤拉(X:16.1 Y:11.1),zuobiao.png,id=855&x=16.1&y=11.1,,
4,需完成「珠串万货街」的全部支线任务,071141.tex.png,,,
3,调查员(7.15),,,,
4,调查员的下落,071141.tex.png,,,
4,娜修·玛卡拉卡,npc.png,,,
4,图莱尤拉(X:14.5 Y:12.5),zuobiao.png,id=855&x=14.5&y=12.5,,
4,需完成支线「曼德维尔之谜」,071141.tex.png,,,https：//ff14.huijiwiki.com/wiki/%E4%BB%BB%E5%8A%A1：%E6%9B%BC%E5%BE%B7%E7%BB%B4%E5%B0%94%E4%B9%8B%E8%B0%9C
3,职能任务(7.16),,,,
4,2期生オーディションの真相,071141.tex.png,,,
4,拉尔·玛玖恩,npc.png,,,
4,图莱尤拉 (X:12.3 Y:14.6),zuobiao.png,id=855&x=12.3&y=14.6,,
4,需完成全部职能任务,071141.tex.png,,,
2,PVP,,,,
3,第12赛季开始,,,,
3,九霄云上,,,,
