等级,内容,图片,坐标,道具名,链接
2,左路,,,,
3,右下角黄袋子放左<br />右上角绿袋子放右<br />等传送阵,,,,
4,打完小怪，不跟娜娜莫走<br />先开左边隐藏门，再跟她走,,,,
5,结局1,,,,
4,打完小怪直接跟娜娜莫走,,,,
5,结局2,,,,
3,随意放2袋子,,,,
4,踩完5个蒲公英,,,,
5,结局3,,,,
4,至少留1个蒲公英,,,,
5,结局4,,,,
2,中路,,,,
3,不放天平,,,,
4,左边拉杆,,,,
5,结局8,,,,
4,右边拉杆,,,,
5,结局9,,,,
3,左头盔，右葡萄,,,,
4,纳尔,,,,
5,结局10,,,,
4,札尔,,,,
5,结局11,,,,
2,右路,,,,
3,升起左桥,,,,
4,门上选一，不会开,,,,
5,结局5,,,,
4,门上选二，自动开,,,,
5,结局6,,,,
3,升起右桥,,,,
4,未按顺序击杀,,,,
5,回到结局5/6门口,,,,
4,按从大到小击杀，进门杀怪捡香炉(限时),,,,
5,打开棺椁,,,,
6,结局7,,,,
5,选中棺椁，做动作,,,,
6,※需有香炉
6,/行礼,1
6,/默哀,1
6,/欢呼胜利,1
6,/下跪,1
6,隐藏结局12,,,,
