等级,内容,图片,坐标,道具名,链接
1,左门,,,,
2,前进,,,,
3,HP归0,,,,
4,结局1,,,,
3,HP高于0,,,,
4,结局2,,,,
2,钓鱼,,,,
3,砂地,,,,
4,结局3,,,,
3,岩石,,,,
4,结局4,,,,
1,中门,,,,
2,其他,,,,
3,结局5,,,,
2,野生动物,,,,
3,结局6,,,,
2,魔法阵,,,,
3,不打猫娘,,,,
4,结局7,,,,
3,打猫娘,,,,
4,结局8,,,,
1,右门,,,,
2,帮忙,,,,
3,结局9,,,,
2,全拒绝,,,,
3,无视宝箱,,,,
4,结局10,,,,
3,打开宝箱,,,,
4,结局11,,,,
2,全拒绝,,,,
3,宝箱随意,,,,
4,结局12,,,,
4,鸟触发,,,,
5,/s 飞舞在空中的神明啊,,,,
5,/飞吻,,,,
5,顺时针绕场一周,,,,
5,/跳舞,,,,
4,鲸触发,,,,
5,/s 跨越水平线的神明啊,,,,
5,顺时针绕场一周,,,,
5,逆时针绕场一周,,,,
5,/跳舞,,,,
4,龟触发,,,,
5,/s 生于陆地投身大海的神明啊,,,,
5,逆时针绕场一周,,,,
5,再逆时针绕场一周,,,,
5,/行礼,,,,
4,进入密道,,,,
4,捡掉落的包裹,,,,
4,,,,,
