等级,内容,图片,坐标,道具名,链接
2,左门,,,,
3,前进,,,,
4,HP归0,,,,
5,结局1,,,,
4,HP高于0,,,,
5,结局2,,,,
3,钓鱼,,,,
4,砂地,,,,
5,结局3,,,,
4,岩石,,,,
5,结局4,,,,
2,中门,,,,
3,其他,,,,
4,结局5,,,,
3,野生动物,,,,
4,结局6,,,,
3,魔法阵,,,,
4,不打猫娘,,,,
5,结局7,,,,
4,打猫娘,,,,
5,结局8,,,,
2,右门,,,,
3,帮忙,,,,
4,结局9,,,,
3,全拒绝,,,,
4,无视宝箱,,,,
5,结局10,,,,
4,打开宝箱,,,,
5,结局11,,,,
4,宝箱随意,,,,
5,鸟触发,,,,
6,/s 飞舞在空中的神明啊,,,,
6,/飞吻,,,,
6,顺时针绕场一周,,,,
6,/跳舞,,,,
5,鲸触发,,,,
6,/s 跨越水平线的神明啊,,,,
6,顺时针绕场一周,,,,
6,逆时针绕场一周,,,,
6,/跳舞,,,,
5,龟触发,,,,
6,/s 生于陆地投身大海的神明啊,,,,
6,逆时针绕场一周,,,,
6,再逆时针绕场一周,,,,
6,/行礼,,,,
5,进入密道,,,,
5,捡掉落的包裹,,,,
5,鸟→鲸→龟顺序放雕像
5,雾气被驱散
5,隐藏结局12
